fold,n_test,n_features,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,meth_variance_threshold,train_c_index,val_c_index,test_c_index,stage,config_id
3,111,322,11,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,17
4,111,330,14,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5293513957307061,0.6755102040816326,0.49411764705882355,conservative_joint_tuning,17
5,111,315,11,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,17
1,112,326,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,18
2,111,318,13,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5952544704264099,0.5093023255813953,0.6013215859030837,conservative_joint_tuning,18
3,111,322,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,18
4,111,330,14,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5213464696223317,0.6673469387755102,0.4838235294117647,conservative_joint_tuning,18
5,111,315,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,18
1,112,326,11,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,19
2,111,318,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.6373796423658872,0.7395348837209302,0.6806167400881057,conservative_joint_tuning,19
3,111,322,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.5734970674486803,0.337995337995338,0.6537162162162162,conservative_joint_tuning,19
4,111,330,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.6065270935960592,0.6020408163265306,0.6544117647058824,conservative_joint_tuning,19
5,111,315,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.5674728356116369,0.5105386416861827,0.3653444676409186,conservative_joint_tuning,19
1,112,326,11,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,20
2,111,318,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.6330811554332875,0.7372093023255814,0.6806167400881057,conservative_joint_tuning,20
3,111,322,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.5709310850439883,0.32867132867132864,0.6554054054054054,conservative_joint_tuning,20
4,111,330,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.6079638752052545,0.6,0.65,conservative_joint_tuning,20
5,111,315,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.5646687697160884,0.5128805620608899,0.35908141962421714,conservative_joint_tuning,20
1,112,326,11,0.0001,0.01,[16],0.6,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,21
2,111,318,12,0.0001,0.01,[16],0.6,False,32,10,0.0005,0.6334250343878954,0.7348837209302326,0.6784140969162996,conservative_joint_tuning,21
3,111,322,12,0.0001,0.01,[16],0.6,False,32,10,0.0005,0.5687316715542522,0.32634032634032634,0.6554054054054054,conservative_joint_tuning,21
4,111,330,12,0.0001,0.01,[16],0.6,False,32,10,0.0005,0.6069376026272578,0.6020408163265306,0.6514705882352941,conservative_joint_tuning,21
5,111,315,12,0.0001,0.01,[16],0.6,False,32,10,0.0005,0.5606379249912373,0.5081967213114754,0.35490605427974947,conservative_joint_tuning,21
1,112,326,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,22
2,111,318,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,22
3,111,322,12,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.0005,0.592925219941349,0.5034965034965035,0.7111486486486487,conservative_joint_tuning,22
4,111,330,11,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,22
5,111,315,12,0.0001,0.01,"[8, 4]",0.4,False,32,10,0.0005,0.539782684893095,0.36768149882903983,0.5532359081419624,conservative_joint_tuning,22
1,112,326,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,23
2,111,318,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,23
3,111,322,12,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.0005,0.5877932551319648,0.5058275058275058,0.7077702702702703,conservative_joint_tuning,23
4,111,330,11,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,23
5,111,315,12,0.0001,0.01,"[8, 4]",0.5,False,32,10,0.0005,0.5424114966701717,0.39344262295081966,0.5615866388308977,conservative_joint_tuning,23
1,112,326,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,24
2,111,318,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,24
3,111,322,12,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.0005,0.5876099706744868,0.5104895104895105,0.7195945945945946,conservative_joint_tuning,24
4,111,330,11,0.0001,0.01,"[8, 4]",0.6,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,24
